image,psnr_A,psnr_B,ssim_A,ssim_B,dE_A,dE_B
baboon.png,20.050972996520752,20.980732346974406,0.7262070313927165,0.7226248675352585,11.424693923627967,10.052772180286455
cook'_meadow.png,23.70587478071507,24.18895870192284,0.8438479710655934,0.8298527353074335,5.922130192001568,5.127927705241844
faraglioni-rocks-slim-aarons.jpg,27.795896391070244,26.772899032616344,0.9142792825131861,0.8968516635008182,3.4174843635796086,3.315285565745542
fruits.png,23.835403753593912,24.37474359778203,0.8719310010326176,0.8529013936841167,6.347535441286963,5.418332272685616
fuji-mountain-in-autumn-doctoregg.jpg,19.235837544569637,19.057370360455284,0.8041370655706513,0.7902874803249104,9.2058540040763,8.822413264046252
Holi-festival-at-nepal.jpg,17.391196679278252,18.537514043760844,0.6807772469550756,0.6787185704583502,13.893869992629671,11.81243613453821
Homer.jpeg,28.608850432701832,29.05310765352016,0.9741079184828507,0.9712138531557589,1.7498640860768448,1.4618828603324765
hong_kong.jpg,19.662823207982527,19.909783716464826,0.8133660129377454,0.7946803006121902,10.030417708210452,9.609752171732039
Landscape.jpg,26.173034181332685,25.20291249960703,0.9163058907478235,0.8983511072465484,4.5501776051222125,4.684169561459122
Lenna.png,28.25891378056543,28.03455564555204,0.8756999828210955,0.853703963144342,3.642255595961061,3.4326250542794403
monument-valley-posnov.jpg,24.22873988423211,23.705837366700706,0.847045490404405,0.8265816791475914,6.211483581035065,5.888384145324279
monument-valley.jpg,28.808638904304132,28.381799284505945,0.9021927806570221,0.8765443756524188,2.9882259521606835,2.9696280399271555
mount-katahdin-denistangneyjr.jpg,23.223685085913544,24.289394315856562,0.8826093352221503,0.8690162658485532,7.315170533584963,6.282962471282255
Peacock Texture Background.jpeg,18.042891421801194,17.982443795545855,0.7979793200631592,0.7869156136716399,13.403492821183036,13.184499594611664
peppers.png,23.084574523686335,22.998642769051386,0.7254560771344369,0.732681758255788,6.654694672152189,6.161186220314321
Picasso1.jpg,24.243922964274397,23.61040657933738,0.8829706897735491,0.8571168065449628,6.734235190509625,6.633831270719558
Picasso2.jpg,26.30508121611137,26.51592641740517,0.8998875097295972,0.8871180682495049,5.922166670194346,5.069359671897218
tokyo_night_life.png,20.708797148267767,20.304737551885978,0.8755654604436888,0.8514835502263994,10.856103843810244,10.687333952420678
tulips.png,17.890637683503442,18.703449344758564,0.7714999061957908,0.7673992189726757,13.121523918562767,12.007999987426196
underwater1.jpg,19.063962155655958,20.133369732435188,0.7699904918597557,0.7718447529533181,7.770412706157688,6.9657894372259515
xavier-portela-hong-kong-glow-11.jpg,19.73298139562503,19.88753005210565,0.8197800147612453,0.8063773811863394,8.186673403458444,7.61526759364072
xavier-portela-hong-kong-glow-12.jpg,19.226067582900257,20.00022219973789,0.800467995237912,0.7925513902524637,9.111551949059754,8.074656264576713
